,RACE 1,RACE 1,RACE 2,RACE 2,RACE 3,RACE 3,RACE 4,RACE 4,RACE 5,RACE 5,RACE 6,RACE 6,RACE 7,RACE 7,RACE 8,RACE 8,RACE 9,RACE 9,RACE 10,RACE 10,RACE 11,RACE 11,RACE 12,RACE 12
,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link,Time,Link
BENDIGO (VIC),,https://swiftbet.com.au//racing/gallops/bendigo/race-1-1779208-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-2-1779220-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-3-1779246-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-4-1779265-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-5-1779288-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-6-1779318-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-7-1779335-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-8-1779345-1071263,,https://swiftbet.com.au//racing/gallops/bendigo/race-9-1779350-1071263,07:29:27 2024-07-11,https://swiftbet.com.au//racing/gallops/bendigo/race-10-1779352-1071263,,,,
MUSWELLBROOK (NSW),,https://swiftbet.com.au//racing/gallops/muswellbrook/race-1-1779393-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-2-1779399-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-3-1779409-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-4-1779416-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-5-1779420-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-6-1779427-1071279,,https://swiftbet.com.au//racing/gallops/muswellbrook/race-7-1779429-1071279,07:24:27 2024-07-11,https://swiftbet.com.au//racing/gallops/muswellbrook/race-8-1779431-1071279,,,,,,,,
HAWKESBURY (NSW),,https://swiftbet.com.au//racing/gallops/hawkesbury/race-1-1779090-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-2-1779099-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-3-1779107-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-4-1779110-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-5-1779114-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-6-1779122-1071241,,https://swiftbet.com.au//racing/gallops/hawkesbury/race-7-1779126-1071241,07:39:28 2024-07-11,https://swiftbet.com.au//racing/gallops/hawkesbury/race-8-1779132-1071241,,,,,,,,
BUNBURY (WA),,https://swiftbet.com.au//racing/gallops/bunbury/race-1-1778236-1071128,,https://swiftbet.com.au//racing/gallops/bunbury/race-2-1778240-1071128,,https://swiftbet.com.au//racing/gallops/bunbury/race-3-1778242-1071128,,https://swiftbet.com.au//racing/gallops/bunbury/race-4-1778246-1071128,07:20:00 2024-07-11,https://swiftbet.com.au//racing/gallops/bunbury/race-5-1778249-1071128,07:54:28 2024-07-11,https://swiftbet.com.au//racing/gallops/bunbury/race-6-1778252-1071128,08:29:28 2024-07-11,https://swiftbet.com.au//racing/gallops/bunbury/race-7-1778253-1071128,09:09:29 2024-07-11,https://swiftbet.com.au//racing/gallops/bunbury/race-8-1778256-1071128,09:46:29 2024-07-11,https://swiftbet.com.au//racing/gallops/bunbury/race-9-1778258-1071128,,,,,,
TAREE (NSW),,https://swiftbet.com.au//racing/gallops/taree/race-1-1779094-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-2-1779101-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-3-1779105-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-4-1779111-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-5-1779113-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-6-1779117-1071242,,https://swiftbet.com.au//racing/gallops/taree/race-7-1779128-1071242,,,,,,,,,,
IPSWICH (QLD),,https://swiftbet.com.au//racing/gallops/ipswich/race-1-1779097-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-2-1779103-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-3-1779109-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-4-1779112-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-5-1779115-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-6-1779120-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-7-1779124-1071244,,https://swiftbet.com.au//racing/gallops/ipswich/race-8-1779134-1071244,,,,,,,,
WANGANUI (NZL),,https://swiftbet.com.au//racing/gallops/wanganui/race-1-1779211-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-2-1779218-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-3-1779232-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-4-1779243-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-5-1779261-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-6-1779278-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-7-1779295-1071265,,https://swiftbet.com.au//racing/gallops/wanganui/race-8-1779308-1071265,,,,,,,,
WARRNAMBOOL (VIC),07:47:30 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-1-1779348-1071273,08:06:30 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-2-1779354-1071273,08:26:30 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-3-1779356-1071273,08:49:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-4-1779358-1071273,09:13:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-5-1779359-1071273,09:34:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-6-1779360-1071273,09:57:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-7-1779361-1071273,10:18:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-8-1779362-1071273,10:39:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-9-1779363-1071273,11:03:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-10-1779364-1071273,11:24:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-11-1779365-1071273,11:46:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/warrnambool/race-12-1779366-1071273
CASINO (NSW),,https://swiftbet.com.au//racing/greyhounds/casino/race-1-1778904-1071219,,https://swiftbet.com.au//racing/greyhounds/casino/race-2-1778912-1071219,,https://swiftbet.com.au//racing/greyhounds/casino/race-3-1778922-1071219,,https://swiftbet.com.au//racing/greyhounds/casino/race-4-1778931-1071219,07:43:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-5-1778942-1071219,07:58:31 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-6-1778957-1071219,08:18:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-7-1778979-1071219,08:41:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-8-1778993-1071219,08:59:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-9-1779006-1071219,09:19:32 2024-07-11,https://swiftbet.com.au//racing/greyhounds/casino/race-10-1779018-1071219,,,,
